dataset,cov_sect,role,field,coverage%,coverage
OA,A,AP,13-D4,0.4230769230769231,11
CR,A,AP,13-D4,0.46153846153846156,12
comb,A,AP,13-D4,0.8076923076923077,21
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,1.0,10
CR,A,AP,13-D4,1.0,10
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,0.75,9
OA,A,AP,13-D4,0.75,9
CR,A,AP,13-D4,0.3333333333333333,4
comb,A,AP,13-D4,0.75,9
MAG,A,AP,13-D4,0.7096774193548387,22
OA,A,AP,13-D4,0.7419354838709677,23
CR,A,AP,13-D4,0.9032258064516129,28
comb,A,AP,13-D4,1.0,31
MAG,A,AP,13-D4,0.8181818181818182,9
OA,A,AP,13-D4,0.8181818181818182,9
CR,A,AP,13-D4,0.9090909090909091,10
comb,A,AP,13-D4,0.9090909090909091,10
MAG,A,AP,13-D4,0.9310344827586207,27
OA,A,AP,13-D4,0.8275862068965517,24
CR,A,AP,13-D4,0.896551724137931,26
comb,A,AP,13-D4,1.0,29
MAG,A,AP,13-D4,1.0,7
OA,A,AP,13-D4,1.0,7
CR,A,AP,13-D4,0.8571428571428571,6
comb,A,AP,13-D4,1.0,7
MAG,A,AP,13-D4,0.7,7
OA,A,AP,13-D4,0.7,7
CR,A,AP,13-D4,0.7,7
comb,A,AP,13-D4,0.7,7
MAG,A,AP,13-D4,1.0,21
OA,A,AP,13-D4,1.0,21
CR,A,AP,13-D4,1.0,21
comb,A,AP,13-D4,1.0,21
MAG,A,AP,13-D4,1.0,14
OA,A,AP,13-D4,1.0,14
CR,A,AP,13-D4,1.0,14
comb,A,AP,13-D4,1.0,14
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,0.9,9
CR,A,AP,13-D4,0.9,9
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,0.8571428571428571,12
OA,A,AP,13-D4,0.7857142857142857,11
CR,A,AP,13-D4,0.7142857142857143,10
comb,A,AP,13-D4,0.9285714285714286,13
MAG,A,AP,13-D4,1.0,7
OA,A,AP,13-D4,1.0,7
CR,A,AP,13-D4,1.0,7
comb,A,AP,13-D4,1.0,7
MAG,A,AP,13-D4,1.0,7
OA,A,AP,13-D4,1.0,7
CR,A,AP,13-D4,0.8571428571428571,6
comb,A,AP,13-D4,1.0,7
MAG,A,AP,13-D4,0.9285714285714286,13
OA,A,AP,13-D4,0.8571428571428571,12
CR,A,AP,13-D4,0.8571428571428571,12
comb,A,AP,13-D4,1.0,14
MAG,A,AP,13-D4,1.0,14
OA,A,AP,13-D4,0.9285714285714286,13
CR,A,AP,13-D4,0.9285714285714286,13
comb,A,AP,13-D4,1.0,14
MAG,A,AP,13-D4,0.9230769230769231,12
OA,A,AP,13-D4,0.7692307692307693,10
CR,A,AP,13-D4,0.7692307692307693,10
comb,A,AP,13-D4,1.0,13
MAG,A,AP,13-D4,0.8484848484848485,28
OA,A,AP,13-D4,0.8787878787878788,29
CR,A,AP,13-D4,0.9393939393939394,31
comb,A,AP,13-D4,0.9393939393939394,31
MAG,A,AP,13-D4,0.9354838709677419,29
OA,A,AP,13-D4,0.9354838709677419,29
CR,A,AP,13-D4,0.9032258064516129,28
comb,A,AP,13-D4,0.9354838709677419,29
MAG,A,AP,13-D4,0.6666666666666666,18
OA,A,AP,13-D4,0.7407407407407407,20
CR,A,AP,13-D4,0.7037037037037037,19
comb,A,AP,13-D4,0.8148148148148148,22
MAG,A,AP,13-D4,0.875,7
OA,A,AP,13-D4,0.875,7
CR,A,AP,13-D4,0.75,6
comb,A,AP,13-D4,0.875,7
MAG,A,AP,13-D4,0.625,25
OA,A,AP,13-D4,0.8,32
CR,A,AP,13-D4,0.575,23
comb,A,AP,13-D4,0.675,27
MAG,A,AP,13-D4,0.7058823529411765,12
OA,A,AP,13-D4,0.8823529411764706,15
CR,A,AP,13-D4,0.8823529411764706,15
comb,A,AP,13-D4,0.8823529411764706,15
MAG,A,AP,13-D4,0.9375,15
OA,A,AP,13-D4,1.0,16
CR,A,AP,13-D4,0.875,14
comb,A,AP,13-D4,0.9375,15
MAG,A,AP,13-D4,1.0,21
OA,A,AP,13-D4,1.0,21
CR,A,AP,13-D4,1.0,21
comb,A,AP,13-D4,1.0,21
MAG,A,AP,13-D4,1.0,12
OA,A,AP,13-D4,0.8333333333333334,10
CR,A,AP,13-D4,0.8333333333333334,10
comb,A,AP,13-D4,1.0,12
MAG,A,AP,13-D4,0.1,1
OA,A,AP,13-D4,0.9,9
CR,A,AP,13-D4,0.9,9
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,0.7,7
OA,A,AP,13-D4,0.9,9
CR,A,AP,13-D4,0.9,9
comb,A,AP,13-D4,0.9,9
MAG,C,AP,13-D4,0.0,0
OA,C,AP,13-D4,0.2727272727272727,3
CR,C,AP,13-D4,0.2727272727272727,3
comb,C,AP,13-D4,0.2727272727272727,3
MAG,A,AP,13-D4,0.7857142857142857,11
OA,A,AP,13-D4,0.7857142857142857,11
CR,A,AP,13-D4,0.7857142857142857,11
comb,A,AP,13-D4,0.8571428571428571,12
MAG,A,AP,13-D4,0.9565217391304348,22
OA,A,AP,13-D4,1.0,23
CR,A,AP,13-D4,0.8695652173913043,20
comb,A,AP,13-D4,0.9565217391304348,22
MAG,A,AP,13-D4,0.8,8
OA,A,AP,13-D4,0.9,9
CR,A,AP,13-D4,0.7,7
comb,A,AP,13-D4,0.8,8
MAG,A,AP,13-D4,0.9523809523809523,20
OA,A,AP,13-D4,0.6666666666666666,14
CR,A,AP,13-D4,0.6190476190476191,13
comb,A,AP,13-D4,1.0,21
MAG,A,AP,13-D4,0.8,12
OA,A,AP,13-D4,0.8,12
CR,A,AP,13-D4,0.8,12
comb,A,AP,13-D4,1.0,15
MAG,A,AP,13-D4,0.7777777777777778,14
OA,A,AP,13-D4,0.7222222222222222,13
CR,A,AP,13-D4,0.7222222222222222,13
comb,A,AP,13-D4,0.8333333333333334,15
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,0.7272727272727273,8
CR,A,AP,13-D4,0.7272727272727273,8
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,0.6,6
OA,A,AP,13-D4,0.6,6
CR,A,AP,13-D4,0.6,6
comb,A,AP,13-D4,0.7,7
MAG,A,AP,13-D4,0.7333333333333333,11
OA,A,AP,13-D4,0.8666666666666667,13
CR,A,AP,13-D4,0.6666666666666666,10
comb,A,AP,13-D4,1.0,15
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,1.0,11
CR,A,AP,13-D4,0.9090909090909091,10
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,0.75,9
OA,A,AP,13-D4,0.9166666666666666,11
CR,A,AP,13-D4,0.75,9
comb,A,AP,13-D4,0.75,9
MAG,A,AP,13-D4,0.9310344827586207,27
OA,A,AP,13-D4,0.896551724137931,26
CR,A,AP,13-D4,0.8275862068965517,24
comb,A,AP,13-D4,0.9655172413793104,28
MAG,A,AP,13-D4,0.9090909090909091,10
OA,A,AP,13-D4,0.8181818181818182,9
CR,A,AP,13-D4,0.7272727272727273,8
comb,A,AP,13-D4,0.9090909090909091,10
MAG,A,AP,13-D4,0.92,23
OA,A,AP,13-D4,0.8,20
CR,A,AP,13-D4,0.84,21
comb,A,AP,13-D4,0.96,24
MAG,A,AP,13-D4,0.16666666666666666,1
OA,A,AP,13-D4,1.0,6
CR,A,AP,13-D4,1.0,6
comb,A,AP,13-D4,1.0,6
MAG,B,FP,10-G1,0.5641025641025641,22
OA,B,FP,10-G1,0.23076923076923078,9
CR,B,FP,10-G1,0.02564102564102564,1
comb,B,FP,10-G1,0.5897435897435898,23
MAG,A,FP,10-G1,0.5833333333333334,14
OA,A,FP,10-G1,0.7083333333333334,17
CR,A,FP,10-G1,0.7083333333333334,17
comb,A,FP,10-G1,0.7916666666666666,19
MAG,A,FP,10-G1,0.9310344827586207,27
