cov_sect,term,role,field,id,MAG,OA,CR,combined,MAG%,OA%,CR%,combined%,total_CV
A,4,AP,10-G1,71774,18,9,5,18,0.782608695652174,0.391304347826087,0.21739130434782608,0.782608695652174,23
A,4,AP,10-G1,72284,15,11,10,20,0.6818181818181818,0.5,0.45454545454545453,0.9090909090909091,22
C,4,AP,10-G1,73198,1,2,2,4,0.05,0.1,0.1,0.2,20
A,4,AP,10-G1,73592,17,15,10,19,0.7391304347826086,0.6521739130434783,0.43478260869565216,0.8260869565217391,23
A,4,AP,13-D4,61832,25,24,24,25,1.0,0.96,0.96,1.0,25
A,4,AP,13-D4,62350,19,18,12,21,0.9047619047619048,0.8571428571428571,0.5714285714285714,1.0,21
A,4,AP,13-D4,62566,16,16,15,16,1.0,1.0,0.9375,1.0,16
A,4,AP,13-D4,63065,9,9,9,11,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7857142857142857,14
A,4,AP,13-D4,64113,13,14,14,14,0.9285714285714286,1.0,1.0,1.0,14
A,4,AP,13-D4,64991,9,7,10,11,0.8181818181818182,0.6363636363636364,0.9090909090909091,1.0,11
A,4,AP,13-D4,65425,6,7,7,7,0.75,0.875,0.875,0.875,8
A,4,AP,13-D4,66671,12,15,15,15,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706,17
A,4,AP,13-D4,66935,21,18,19,21,1.0,0.8571428571428571,0.9047619047619048,1.0,21
A,4,AP,13-D4,67304,7,7,7,7,1.0,1.0,1.0,1.0,7
A,4,AP,13-D4,68156,9,9,9,9,1.0,1.0,1.0,1.0,9
A,4,AP,13-D4,68339,30,28,27,30,0.9090909090909091,0.8484848484848485,0.8181818181818182,0.9090909090909091,33
A,4,AP,13-D4,69359,10,10,10,10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
A,4,AP,13-D4,69473,17,20,20,20,0.85,1.0,1.0,1.0,20
A,4,AP,13-D4,70344,9,12,11,12,0.75,1.0,0.9166666666666666,1.0,12
A,4,AP,13-D4,70471,10,9,8,10,1.0,0.9,0.8,1.0,10
A,4,AP,13-D4,71368,9,9,9,9,1.0,1.0,1.0,1.0,9
A,4,AP,13-D4,72468,6,7,7,7,0.8571428571428571,1.0,1.0,1.0,7
A,4,AP,13-D4,72747,14,13,13,14,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.9333333333333333,15
A,4,AP,13-D4,73284,4,3,3,4,1.0,0.75,0.75,1.0,4
A,5,FP,10-G1,101024,48,9,4,48,0.9795918367346939,0.1836734693877551,0.08163265306122448,0.9795918367346939,49
B,5,FP,10-G1,102129,8,0,0,8,0.5,0.0,0.0,0.5,16
B,5,FP,10-G1,102620,8,6,4,11,0.25806451612903225,0.1935483870967742,0.12903225806451613,0.3548387096774194,31
A,5,FP,10-G1,103198,11,10,9,13,0.8461538461538461,0.7692307692307693,0.6923076923076923,1.0,13
A,5,FP,10-G1,75089,15,8,4,16,0.7894736842105263,0.42105263157894735,0.21052631578947367,0.8421052631578947,19
A,5,FP,10-G1,75289,28,16,15,28,0.717948717948718,0.41025641025641024,0.38461538461538464,0.717948717948718,39
B,5,FP,10-G1,76461,8,9,5,10,0.2962962962962963,0.3333333333333333,0.18518518518518517,0.37037037037037035,27
A,5,FP,10-G1,76473,17,6,4,17,0.6296296296296297,0.2222222222222222,0.14814814814814814,0.6296296296296297,27
A,5,FP,10-G1,77937,25,34,13,28,0.6578947368421053,0.8947368421052632,0.34210526315789475,0.7368421052631579,38
B,5,FP,10-G1,79150,11,16,9,13,0.5238095238095238,0.7619047619047619,0.42857142857142855,0.6190476190476191,21
B,5,FP,10-G1,79443,15,3,1,15,0.4411764705882353,0.08823529411764706,0.029411764705882353,0.4411764705882353,34
C,5,FP,10-G1,79990,10,6,2,12,0.3225806451612903,0.1935483870967742,0.06451612903225806,0.3870967741935484,31
A,5,FP,10-G1,80404,12,5,4,12,0.75,0.3125,0.25,0.75,16
B,5,FP,10-G1,81047,9,5,4,10,0.5625,0.3125,0.25,0.625,16
A,5,FP,10-G1,82282,28,30,17,31,0.7777777777777778,0.8333333333333334,0.4722222222222222,0.8611111111111112,36
B,5,FP,10-G1,83973,6,2,3,7,0.15384615384615385,0.05128205128205128,0.07692307692307693,0.1794871794871795,39
C,5,FP,10-G1,84400,8,3,0,8,0.2,0.075,0.0,0.2,40
C,5,FP,10-G1,85108,8,5,4,9,0.23529411764705882,0.14705882352941177,0.11764705882352941,0.2647058823529412,34
B,5,FP,10-G1,86925,3,1,0,3,0.12,0.04,0.0,0.12,25
A,5,FP,10-G1,87797,23,5,2,23,0.71875,0.15625,0.0625,0.71875,32
A,5,FP,10-G1,88119,12,17,10,18,0.3,0.425,0.25,0.45,40
B,5,FP,10-G1,88250,13,0,0,14,0.6190476190476191,0.0,0.0,0.6666666666666666,21
C,5,FP,10-G1,88868,4,4,3,5,0.16666666666666666,0.16666666666666666,0.125,0.20833333333333334,24
A,5,FP,10-G1,89484,35,32,18,35,0.9210526315789473,0.8421052631578947,0.47368421052631576,0.9210526315789473,38
A,5,FP,10-G1,89507,31,43,14,34,0.6739130434782609,0.9347826086956522,0.30434782608695654,0.7391304347826086,46
A,5,FP,10-G1,89530,31,9,6,31,0.8378378378378378,0.24324324324324326,0.16216216216216217,0.8378378378378378,37
C,5,FP,10-G1,91396,3,3,3,5,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.21739130434782608,23
A,5,FP,10-G1,93285,25,25,20,26,0.9259259259259259,0.9259259259259259,0.7407407407407407,0.9629629629629629,27
C,5,FP,10-G1,93330,5,3,3,7,0.12195121951219512,0.07317073170731707,0.07317073170731707,0.17073170731707318,41
A,5,FP,10-G1,93347,17,23,14,22,0.32075471698113206,0.4339622641509434,0.2641509433962264,0.41509433962264153,53
C,5,FP,10-G1,95736,4,2,1,5,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.18518518518518517,27
A,5,FP,10-G1,96966,19,11,10,19,0.95,0.55,0.5,0.95,20
B,5,FP,10-G1,99051,9,7,5,11,0.32142857142857145,0.25,0.17857142857142858,0.39285714285714285,28
A,5,FP,10-G1,99358,17,10,6,18,0.4146341463414634,0.24390243902439024,0.14634146341463414,0.43902439024390244,41
A,5,FP,10-G1,99837,33,30,8,35,0.7857142857142857,0.7142857142857143,0.19047619047619047,0.8333333333333334,42
A,5,FP,13-D4,100727,23,21,20,23,0.92,0.84,0.8,0.92,25
A,5,FP,13-D4,100780,36,36,38,39,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9285714285714286,42
A,5,FP,13-D4,101300,12,14,14,14,0.8571428571428571,1.0,1.0,1.0,14
A,5,FP,13-D4,101318,11,12,12,12,0.9166666666666666,1.0,1.0,1.0,12
A,5,FP,13-D4,102088,39,38,39,39,0.975,0.95,0.975,0.975,40
A,5,FP,13-D4,102904,15,18,18,18,0.75,0.9,0.9,0.9,20
A,5,FP,13-D4,103792,12,14,11,12,0.7058823529411765,0.8235294117647058,0.6470588235294118,0.7058823529411765,17
A,5,FP,13-D4,105053,12,13,10,12,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.8571428571428571,14
A,5,FP,13-D4,105086,11,11,11,11,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,14
A,5,FP,13-D4,74602,32,32,31,34,0.8421052631578947,0.8421052631578947,0.8157894736842105,0.8947368421052632,38
A,5,FP,13-D4,75280,16,16,14,17,0.9411764705882353,0.9411764705882353,0.8235294117647058,1.0,17
A,5,FP,13-D4,75295,30,34,39,42,0.6976744186046512,0.7906976744186046,0.9069767441860465,0.9767441860465116,43
A,5,FP,13-D4,75583,27,18,15,27,0.84375,0.5625,0.46875,0.84375,32
A,5,FP,13-D4,77837,24,25,23,25,0.96,1.0,0.92,1.0,25
A,5,FP,13-D4,79863,42,41,43,44,0.875,0.8541666666666666,0.8958333333333334,0.9166666666666666,48
A,5,FP,13-D4,80604,15,10,13,15,0.9375,0.625,0.8125,0.9375,16
A,5,FP,13-D4,82835,22,24,20,24,0.8148148148148148,0.8888888888888888,0.7407407407407407,0.8888888888888888,27
A,5,FP,13-D4,83309,21,21,18,25,0.84,0.84,0.72,1.0,25
A,5,FP,13-D4,85138,14,14,12,16,0.875,0.875,0.75,1.0,16
A,5,FP,13-D4,86071,14,14,14,14,1.0,1.0,1.0,1.0,14
A,5,FP,13-D4,86957,12,11,12,12,1.0,0.9166666666666666,1.0,1.0,12
A,5,FP,13-D4,87833,17,19,15,18,0.85,0.95,0.75,0.9,20
A,5,FP,13-D4,89628,17,17,17,17,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
A,5,FP,13-D4,91316,15,14,14,16,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.8888888888888888,18
A,5,FP,13-D4,91546,16,14,14,17,0.9411764705882353,0.8235294117647058,0.8235294117647058,1.0,17
A,5,FP,13-D4,91965,20,21,18,20,0.9523809523809523,1.0,0.8571428571428571,0.9523809523809523,21
A,5,FP,13-D4,92620,39,33,30,40,0.8863636363636364,0.75,0.6818181818181818,0.9090909090909091,44
A,5,FP,13-D4,93128,21,19,20,21,1.0,0.9047619047619048,0.9523809523809523,1.0,21
A,5,FP,13-D4,93459,19,16,16,19,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,24
A,5,FP,13-D4,94000,12,12,12,12,1.0,1.0,1.0,1.0,12
A,5,FP,13-D4,94345,63,63,63,66,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,66
A,5,FP,13-D4,94616,68,66,65,68,0.9577464788732394,0.9295774647887324,0.9154929577464789,0.9577464788732394,71
A,5,FP,13-D4,94866,18,19,15,19,0.8571428571428571,0.9047619047619048,0.7142857142857143,0.9047619047619048,21
A,5,FP,13-D4,96502,17,16,13,18,0.9444444444444444,0.8888888888888888,0.7222222222222222,1.0,18
A,5,FP,13-D4,96892,18,18,18,18,1.0,1.0,1.0,1.0,18
A,5,FP,13-D4,97473,15,16,16,16,0.9375,1.0,1.0,1.0,16
A,5,FP,13-D4,97562,37,37,39,46,0.7872340425531915,0.7872340425531915,0.8297872340425532,0.9787234042553191,47
A,5,FP,13-D4,99352,35,28,28,35,1.0,0.8,0.8,1.0,35
A,5,FP,13-D4,99702,29,29,26,31,0.8055555555555556,0.8055555555555556,0.7222222222222222,0.8611111111111112,36
A,5,AP,10-G1,100832,12,13,13,13,0.9230769230769231,1.0,1.0,1.0,13
C,5,AP,10-G1,101100,0,0,0,0,0.0,0.0,0.0,0.0,11
C,5,AP,10-G1,101335,0,2,0,1,0.0,0.13333333333333333,0.0,0.06666666666666667,15
A,5,AP,10-G1,102637,11,12,8,12,0.9166666666666666,1.0,0.6666666666666666,1.0,12
A,5,AP,10-G1,104254,19,10,7,19,0.7916666666666666,0.4166666666666667,0.2916666666666667,0.7916666666666666,24
A,5,AP,10-G1,104308,6,5,5,6,0.75,0.625,0.625,0.75,8
B,5,AP,10-G1,105051,6,7,6,6,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,9
C,5,AP,10-G1,105491,1,1,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
C,5,AP,10-G1,74788,1,0,0,1,0.05555555555555555,0.0,0.0,0.05555555555555555,18
C,5,AP,10-G1,75064,5,0,0,5,0.4166666666666667,0.0,0.0,0.4166666666666667,12
C,5,AP,10-G1,75492,2,0,0,2,0.14285714285714285,0.0,0.0,0.14285714285714285,14
C,5,AP,10-G1,75797,0,0,0,0,0.0,0.0,0.0,0.0,18
A,5,AP,10-G1,75871,9,8,3,12,0.6428571428571429,0.5714285714285714,0.21428571428571427,0.8571428571428571,14
A,5,AP,10-G1,75901,14,12,11,16,0.7368421052631579,0.631578947368421,0.5789473684210527,0.8421052631578947,19
C,5,AP,10-G1,76379,0,5,1,1,0.0,0.5,0.1,0.1,10
A,5,AP,10-G1,76387,9,4,4,9,0.75,0.3333333333333333,0.3333333333333333,0.75,12
C,5,AP,10-G1,76644,0,0,0,0,0.0,0.0,0.0,0.0,20
A,5,AP,10-G1,76671,14,9,3,14,0.9333333333333333,0.6,0.2,0.9333333333333333,15
A,5,AP,10-G1,76945,10,2,0,10,0.7142857142857143,0.14285714285714285,0.0,0.7142857142857143,14
A,5,AP,10-G1,77045,17,17,10,19,0.7083333333333334,0.7083333333333334,0.4166666666666667,0.7916666666666666,24
C,5,AP,10-G1,77323,6,8,0,6,0.5,0.6666666666666666,0.0,0.5,12
A,5,AP,10-G1,77938,13,16,8,13,0.8125,1.0,0.5,0.8125,16
C,5,AP,10-G1,78203,2,0,1,3,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078,13
A,5,AP,10-G1,78538,10,10,10,10,1.0,1.0,1.0,1.0,10
A,5,AP,10-G1,78680,6,5,4,6,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,7
B,5,AP,10-G1,79116,7,12,6,8,0.5,0.8571428571428571,0.42857142857142855,0.5714285714285714,14
A,5,AP,10-G1,79144,19,9,6,19,0.8260869565217391,0.391304347826087,0.2608695652173913,0.8260869565217391,23
B,5,AP,10-G1,80259,5,6,3,5,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.5555555555555556,9
C,5,AP,10-G1,80720,2,0,0,2,0.15384615384615385,0.0,0.0,0.15384615384615385,13
C,5,AP,10-G1,80941,1,2,2,2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,15
C,5,AP,10-G1,81464,0,1,1,1,0.0,0.0625,0.0625,0.0625,16
B,5,AP,10-G1,81576,7,14,5,13,0.30434782608695654,0.6086956521739131,0.21739130434782608,0.5652173913043478,23
C,5,AP,10-G1,81760,2,6,2,3,0.2,0.6,0.2,0.3,10
A,5,AP,10-G1,81840,16,16,3,16,0.6956521739130435,0.6956521739130435,0.13043478260869565,0.6956521739130435,23
B,5,AP,10-G1,82257,7,4,0,7,0.1590909090909091,0.09090909090909091,0.0,0.1590909090909091,44
C,5,AP,10-G1,82567,0,0,0,0,0.0,0.0,0.0,0.0,45
B,5,AP,10-G1,82666,7,6,2,13,0.3684210526315789,0.3157894736842105,0.10526315789473684,0.6842105263157895,19
A,5,AP,10-G1,83147,11,4,1,11,0.9166666666666666,0.3333333333333333,0.08333333333333333,0.9166666666666666,12
A,5,AP,10-G1,83419,25,28,2,27,0.6944444444444444,0.7777777777777778,0.05555555555555555,0.75,36
A,5,AP,10-G1,83488,10,9,9,12,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.8571428571428571,14
A,5,AP,10-G1,84115,14,11,5,14,0.9333333333333333,0.7333333333333333,0.3333333333333333,0.9333333333333333,15
C,5,AP,10-G1,84572,3,3,3,4,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.3076923076923077,13
B,5,AP,10-G1,84753,7,2,2,7,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.5833333333333334,12
A,5,AP,10-G1,84966,20,8,5,20,0.8,0.32,0.2,0.8,25
C,5,AP,10-G1,85217,5,5,4,7,0.25,0.25,0.2,0.35,20
C,5,AP,10-G1,85913,0,0,0,0,0.0,0.0,0.0,0.0,10
C,5,AP,10-G1,86183,4,3,2,6,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.46153846153846156,13
C,5,AP,10-G1,86211,0,3,1,3,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,11
A,5,AP,10-G1,86640,5,7,5,7,0.5555555555555556,0.7777777777777778,0.5555555555555556,0.7777777777777778,9
A,5,AP,10-G1,87676,9,9,7,10,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.7692307692307693,13
A,5,AP,10-G1,88485,11,14,13,14,0.7333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,15
A,5,AP,10-G1,89286,13,13,12,13,1.0,1.0,0.9230769230769231,1.0,13
B,5,AP,10-G1,89613,8,1,0,8,0.6666666666666666,0.08333333333333333,0.0,0.6666666666666666,12
C,5,AP,10-G1,90321,1,1,0,2,0.02702702702702703,0.02702702702702703,0.0,0.05405405405405406,37
B,5,AP,10-G1,90574,7,3,0,9,0.2916666666666667,0.125,0.0,0.375,24
B,5,AP,10-G1,90596,6,10,4,6,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.42857142857142855,14
B,5,AP,10-G1,90689,12,14,0,12,0.6666666666666666,0.7777777777777778,0.0,0.6666666666666666,18
C,5,AP,10-G1,91236,6,6,3,8,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.36363636363636365,22
A,5,AP,10-G1,91314,11,1,0,11,0.8461538461538461,0.07692307692307693,0.0,0.8461538461538461,13
B,5,AP,10-G1,91323,11,10,3,12,0.44,0.4,0.12,0.48,25
C,5,AP,10-G1,91644,4,4,0,5,0.2857142857142857,0.2857142857142857,0.0,0.35714285714285715,14
A,5,AP,10-G1,91799,15,10,7,15,0.7894736842105263,0.5263157894736842,0.3684210526315789,0.7894736842105263,19
C,5,AP,10-G1,92287,0,4,1,1,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,12
A,5,AP,10-G1,92519,12,12,11,14,0.8571428571428571,0.8571428571428571,0.7857142857142857,1.0,14
C,5,AP,10-G1,92906,0,0,0,0,0.0,0.0,0.0,0.0,14
C,5,AP,10-G1,93259,5,2,2,6,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.46153846153846156,13
B,5,AP,10-G1,93645,7,0,0,7,0.4666666666666667,0.0,0.0,0.4666666666666667,15
A,5,AP,10-G1,93940,11,10,9,11,1.0,0.9090909090909091,0.8181818181818182,1.0,11
C,5,AP,10-G1,94522,1,0,0,1,0.058823529411764705,0.0,0.0,0.058823529411764705,17
B,5,AP,10-G1,94693,7,8,1,7,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.5833333333333334,12
A,5,AP,10-G1,94811,12,13,11,12,0.9230769230769231,1.0,0.8461538461538461,0.9230769230769231,13
C,5,AP,10-G1,95051,3,1,1,5,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.35714285714285715,14
B,5,AP,10-G1,95060,4,5,4,5,0.5,0.625,0.5,0.625,8
A,5,AP,10-G1,95644,14,10,3,14,0.9333333333333333,0.6666666666666666,0.2,0.9333333333333333,15
C,5,AP,10-G1,95774,0,2,0,1,0.0,0.06451612903225806,0.0,0.03225806451612903,31
A,5,AP,10-G1,96084,7,3,1,7,0.7777777777777778,0.3333333333333333,0.1111111111111111,0.7777777777777778,9
B,5,AP,10-G1,96093,8,6,2,8,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,12
A,5,AP,10-G1,96121,12,0,0,12,0.7058823529411765,0.0,0.0,0.7058823529411765,17
B,5,AP,10-G1,97937,5,7,2,6,0.38461538461538464,0.5384615384615384,0.15384615384615385,0.46153846153846156,13
B,5,AP,10-G1,98115,5,4,4,5,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.38461538461538464,13
B,5,AP,10-G1,98567,5,4,1,5,0.5,0.4,0.1,0.5,10
C,5,AP,10-G1,98581,3,1,0,4,0.1,0.03333333333333333,0.0,0.13333333333333333,30
B,5,AP,10-G1,98647,13,7,0,13,0.65,0.35,0.0,0.65,20
A,5,AP,13-D4,101343,12,11,12,12,1.0,0.9166666666666666,1.0,1.0,12
A,5,AP,13-D4,101897,12,12,12,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,13
A,5,AP,13-D4,102002,8,8,8,8,1.0,1.0,1.0,1.0,8
A,5,AP,13-D4,102092,14,12,13,14,1.0,0.8571428571428571,0.9285714285714286,1.0,14
A,5,AP,13-D4,102583,9,10,9,11,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.8461538461538461,13
C,5,AP,13-D4,103523,0,14,14,15,0.0,0.5384615384615384,0.5384615384615384,0.5769230769230769,26
A,5,AP,13-D4,103895,3,3,3,3,1.0,1.0,1.0,1.0,3
A,5,AP,13-D4,104149,7,8,7,7,0.7,0.8,0.7,0.7,10
A,5,AP,13-D4,104874,9,10,8,9,0.9,1.0,0.8,0.9,10
A,5,AP,13-D4,105696,10,11,11,11,0.9090909090909091,1.0,1.0,1.0,11
A,5,AP,13-D4,105859,26,25,25,28,0.9285714285714286,0.8928571428571429,0.8928571428571429,1.0,28
B,5,AP,13-D4,105973,10,13,10,11,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.6470588235294118,17
A,5,AP,13-D4,106010,6,6,6,6,1.0,1.0,1.0,1.0,6
A,5,AP,13-D4,106290,3,3,3,3,1.0,1.0,1.0,1.0,3
A,5,AP,13-D4,74953,9,9,9,9,1.0,1.0,1.0,1.0,9
A,5,AP,13-D4,76223,23,22,23,24,0.92,0.88,0.92,0.96,25
A,5,AP,13-D4,76909,10,10,10,10,1.0,1.0,1.0,1.0,10
A,5,AP,13-D4,78754,10,10,10,10,1.0,1.0,1.0,1.0,10
A,5,AP,13-D4,80694,8,8,5,8,0.7272727272727273,0.7272727272727273,0.45454545454545453,0.7272727272727273,11
A,5,AP,13-D4,81762,10,10,10,10,1.0,1.0,1.0,1.0,10
C,5,AP,13-D4,81968,0,5,5,5,0.0,0.5,0.5,0.5,10
A,5,AP,13-D4,83159,14,13,13,16,0.875,0.8125,0.8125,1.0,16
A,5,AP,13-D4,83647,9,9,7,9,0.9,0.9,0.7,0.9,10
A,5,AP,13-D4,83761,19,17,17,19,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.9047619047619048,21
B,5,AP,13-D4,84110,5,4,4,5,0.5,0.4,0.4,0.5,10
A,5,AP,13-D4,84230,10,8,8,10,1.0,0.8,0.8,1.0,10
A,5,AP,13-D4,84489,10,12,9,12,0.8333333333333334,1.0,0.75,1.0,12
A,5,AP,13-D4,85403,5,6,6,6,0.8333333333333334,1.0,1.0,1.0,6
A,5,AP,13-D4,85862,24,24,24,24,1.0,1.0,1.0,1.0,24
A,5,AP,13-D4,86118,8,7,8,9,0.8,0.7,0.8,0.9,10
A,5,AP,13-D4,86657,7,8,8,9,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,12
A,5,AP,13-D4,86804,9,9,9,9,1.0,1.0,1.0,1.0,9
A,5,AP,13-D4,87931,15,15,13,15,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.8823529411764706,17
A,5,AP,13-D4,88006,9,9,8,9,1.0,1.0,0.8888888888888888,1.0,9
A,5,AP,13-D4,88478,11,11,10,12,0.9166666666666666,0.9166666666666666,0.8333333333333334,1.0,12
B,5,AP,13-D4,88971,6,5,5,7,0.15384615384615385,0.1282051282051282,0.1282051282051282,0.1794871794871795,39
A,5,AP,13-D4,89957,6,6,6,6,1.0,1.0,1.0,1.0,6
A,5,AP,13-D4,90091,12,11,11,12,1.0,0.9166666666666666,0.9166666666666666,1.0,12
A,5,AP,13-D4,90274,9,7,7,10,0.75,0.5833333333333334,0.5833333333333334,0.8333333333333334,12
A,5,AP,13-D4,90315,18,15,13,18,1.0,0.8333333333333334,0.7222222222222222,1.0,18
A,5,AP,13-D4,91209,11,11,11,11,1.0,1.0,1.0,1.0,11
A,5,AP,13-D4,92002,12,13,11,12,0.9230769230769231,1.0,0.8461538461538461,0.9230769230769231,13
A,5,AP,13-D4,92177,14,14,14,14,1.0,1.0,1.0,1.0,14
A,5,AP,13-D4,92214,4,6,6,6,0.6666666666666666,1.0,1.0,1.0,6
A,5,AP,13-D4,92275,6,6,6,6,1.0,1.0,1.0,1.0,6
A,5,AP,13-D4,92611,10,8,8,10,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.9090909090909091,11
A,5,AP,13-D4,92697,22,24,25,25,0.8461538461538461,0.9230769230769231,0.9615384615384616,0.9615384615384616,26
A,5,AP,13-D4,92867,4,4,4,4,1.0,1.0,1.0,1.0,4
A,5,AP,13-D4,93171,17,18,18,18,0.7727272727272727,0.8181818181818182,0.8181818181818182,0.8181818181818182,22
A,5,AP,13-D4,93599,11,10,11,11,1.0,0.9090909090909091,1.0,1.0,11
A,5,AP,13-D4,93875,10,9,9,10,1.0,0.9,0.9,1.0,10
A,5,AP,13-D4,93907,17,15,12,17,0.9444444444444444,0.8333333333333334,0.6666666666666666,0.9444444444444444,18
A,5,AP,13-D4,94001,10,10,10,10,1.0,1.0,1.0,1.0,10
A,5,AP,13-D4,94037,12,13,11,12,0.9230769230769231,1.0,0.8461538461538461,0.9230769230769231,13
A,5,AP,13-D4,94845,24,24,24,24,1.0,1.0,1.0,1.0,24
B,5,AP,13-D4,94995,6,10,5,8,0.3,0.5,0.25,0.4,20
A,5,AP,13-D4,96167,10,9,9,10,0.8333333333333334,0.75,0.75,0.8333333333333334,12
A,5,AP,13-D4,96303,14,12,10,14,0.9333333333333333,0.8,0.6666666666666666,0.9333333333333333,15
A,5,AP,13-D4,98122,19,19,19,19,1.0,1.0,1.0,1.0,19
A,5,AP,13-D4,99542,8,8,8,8,1.0,1.0,1.0,1.0,8
